Type                                  Module                      Label             Process        Full Name
vector<TotemFEDInfo>                  "totemRPRawToDigi"          "TrackingStrip"   "RECO"         TotemFEDInfos_totemRPRawToDigi_TrackingStrip_RECO
vector<double>                        "ak4PFJetsCHS"              "rhos"            "RECO"         doubles_ak4PFJetsCHS_rhos_RECO
vector<double>                        "ak4PFJetsPuppi"            "rhos"            "RECO"         doubles_ak4PFJetsPuppi_rhos_RECO
vector<double>                        "ak8PFJetsPuppi"            "rhos"            "RECO"         doubles_ak8PFJetsPuppi_rhos_RECO
vector<double>                        "ak8PFJetsPuppiSoftDrop"    "rhos"            "RECO"         doubles_ak8PFJetsPuppiSoftDrop_rhos_RECO
vector<double>                        "ak4PFJetsCHS"              "sigmas"          "RECO"         doubles_ak4PFJetsCHS_sigmas_RECO
vector<double>                        "ak4PFJetsPuppi"            "sigmas"          "RECO"         doubles_ak4PFJetsPuppi_sigmas_RECO
vector<double>                        "ak8PFJetsPuppi"            "sigmas"          "RECO"         doubles_ak8PFJetsPuppi_sigmas_RECO
vector<double>                        "ak8PFJetsPuppiSoftDrop"    "sigmas"          "RECO"         doubles_ak8PFJetsPuppiSoftDrop_sigmas_RECO
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "RECO"         edmErrorSummaryEntrys_logErrorHarvester__RECO
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "RECO"         recoPFCandidateedmFwdPtrs_particleFlowPtrs__RECO
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowTmpPtrs"       ""                "RECO"         recoPFCandidateedmFwdPtrs_particleFlowTmpPtrs__RECO
vector<float>                         "generalTracks"             "MVAValues"       "RECO"         floats_generalTracks_MVAValues_RECO
vector<reco::BasicJet>                "ak8PFJetsPuppiSoftDrop"    ""                "RECO"         recoBasicJets_ak8PFJetsPuppiSoftDrop__RECO
vector<reco::CaloCluster>             "hfEMClusters"              ""                "RECO"         recoCaloClusters_hfEMClusters__RECO
vector<reco::CaloCluster>             "lowPtGsfElectronSuperClusters"   ""                "RECO"         recoCaloClusters_lowPtGsfElectronSuperClusters__RECO
vector<reco::CaloCluster>             "particleFlowEGamma"        "EBEEClusters"    "RECO"         recoCaloClusters_particleFlowEGamma_EBEEClusters_RECO
vector<reco::CaloCluster>             "particleFlowEGamma"        "ESClusters"      "RECO"         recoCaloClusters_particleFlowEGamma_ESClusters_RECO
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "RECO"         recoCaloClusters_hybridSuperClusters_hybridBarrelBasicClusters_RECO
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "RECO"         recoCaloClusters_multi5x5SuperClusters_multi5x5EndcapBasicClusters_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "RECO"         recoCaloClusters_particleFlowSuperClusterECAL_particleFlowBasicClusterECALBarrel_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "RECO"         recoCaloClusters_particleFlowSuperClusterECAL_particleFlowBasicClusterECALEndcap_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "RECO"         recoCaloClusters_particleFlowSuperClusterECAL_particleFlowBasicClusterECALPreshower_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALBarrel"   "RECO"         recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALBarrel_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALEndcap"   "RECO"         recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALEndcap_RECO
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALPreshower"   "RECO"         recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALPreshower_RECO
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "RECO"         recoCaloClusters_hybridSuperClusters_uncleanOnlyHybridBarrelBasicClusters_RECO
vector<reco::CaloJet>                 "JetPlusTrackZSPCorJetAntiKt4"   ""                "RECO"         recoCaloJets_JetPlusTrackZSPCorJetAntiKt4__RECO
vector<reco::CaloJet>                 "ak4CaloJets"               ""                "RECO"         recoCaloJets_ak4CaloJets__RECO
vector<reco::CaloMET>                 "caloMet"                   ""                "RECO"         recoCaloMETs_caloMet__RECO
vector<reco::CaloMET>                 "caloMetBE"                 ""                "RECO"         recoCaloMETs_caloMetBE__RECO
vector<reco::CaloMET>                 "caloMetBEFO"               ""                "RECO"         recoCaloMETs_caloMetBEFO__RECO
vector<reco::CaloMET>                 "caloMetM"                  ""                "RECO"         recoCaloMETs_caloMetM__RECO
vector<reco::Conversion>              "allConversions"            ""                "RECO"         recoConversions_allConversions__RECO
vector<reco::Conversion>              "conversions"               ""                "RECO"         recoConversions_conversions__RECO
vector<reco::Conversion>              "particleFlowEGamma"        ""                "RECO"         recoConversions_particleFlowEGamma__RECO
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "RECO"         recoConversions_uncleanedOnlyAllConversions__RECO
vector<reco::Conversion>              "gsfTracksOpenConversions"   "gsfTracksOpenConversions"   "RECO"         recoConversions_gsfTracksOpenConversions_gsfTracksOpenConversions_RECO
vector<reco::DeDxHitInfo>             "dedxHitInfo"               ""                "RECO"         recoDeDxHitInfos_dedxHitInfo__RECO
vector<reco::ForwardProton>           "ctppsProtons"              "multiRP"         "RECO"         recoForwardProtons_ctppsProtons_multiRP_RECO
vector<reco::ForwardProton>           "ctppsProtons"              "singleRP"        "RECO"         recoForwardProtons_ctppsProtons_singleRP_RECO
vector<reco::GsfElectron>             "gedGsfElectrons"           ""                "RECO"         recoGsfElectrons_gedGsfElectrons__RECO
vector<reco::GsfElectron>             "lowPtGsfElectrons"         ""                "RECO"         recoGsfElectrons_lowPtGsfElectrons__RECO
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "RECO"         recoGsfElectrons_uncleanedOnlyGsfElectrons__RECO
vector<reco::GsfElectronCore>         "gedGsfElectronCores"       ""                "RECO"         recoGsfElectronCores_gedGsfElectronCores__RECO
vector<reco::GsfElectronCore>         "lowPtGsfElectronCores"     ""                "RECO"         recoGsfElectronCores_lowPtGsfElectronCores__RECO
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "RECO"         recoGsfElectronCores_uncleanedOnlyGsfElectronCores__RECO
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "RECO"         recoGsfTracks_electronGsfTracks__RECO
vector<reco::GsfTrack>                "lowPtGsfEleGsfTracks"      ""                "RECO"         recoGsfTracks_lowPtGsfEleGsfTracks__RECO
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "RECO"         recoHFEMClusterShapes_hfEMClusters__RECO
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt4"   ""                "RECO"         recoJPTJets_JetPlusTrackZSPCorJetAntiKt4__RECO
vector<reco::Muon>                    "displacedMuons"            ""                "RECO"         recoMuons_displacedMuons__RECO
vector<reco::Muon>                    "muons"                     ""                "RECO"         recoMuons_muons__RECO
vector<reco::Muon>                    "muonsFromCosmics"          ""                "RECO"         recoMuons_muonsFromCosmics__RECO
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "RECO"         recoMuons_muonsFromCosmics1Leg__RECO
vector<reco::PFCandidate>             "particleFlow"              ""                "RECO"         recoPFCandidates_particleFlow__RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "RECO"         recoPFCandidates_particleFlowTmp_AddedMuonsAndHadrons_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "RECO"         recoPFCandidates_particleFlowTmp_CleanedCosmicsMuons_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "RECO"         recoPFCandidates_particleFlowTmp_CleanedFakeMuons_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "RECO"         recoPFCandidates_particleFlowTmp_CleanedHF_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "RECO"         recoPFCandidates_particleFlowTmp_CleanedPunchThroughMuons_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "RECO"         recoPFCandidates_particleFlowTmp_CleanedPunchThroughNeutralHadrons_RECO
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "RECO"         recoPFCandidates_particleFlowTmp_CleanedTrackerAndGlobalMuons_RECO
vector<reco::PFJet>                   "ak4PFJets"                 ""                "RECO"         recoPFJets_ak4PFJets__RECO
vector<reco::PFJet>                   "ak4PFJetsCHS"              ""                "RECO"         recoPFJets_ak4PFJetsCHS__RECO
vector<reco::PFJet>                   "ak4PFJetsPuppi"            ""                "RECO"         recoPFJets_ak4PFJetsPuppi__RECO
vector<reco::PFJet>                   "ak8PFJetsPuppi"            ""                "RECO"         recoPFJets_ak8PFJetsPuppi__RECO
vector<reco::PFJet>                   "ak8PFJetsPuppiSoftDrop"    "SubJets"         "RECO"         recoPFJets_ak8PFJetsPuppiSoftDrop_SubJets_RECO
vector<reco::PFMET>                   "pfChMet"                   ""                "RECO"         recoPFMETs_pfChMet__RECO
vector<reco::PFMET>                   "pfMet"                     ""                "RECO"         recoPFMETs_pfMet__RECO
vector<reco::PFMET>                   "pfMetPuppi"                ""                "RECO"         recoPFMETs_pfMetPuppi__RECO
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "RECO"         recoPFRecHits_particleFlowRecHitECAL_Cleaned_RECO
vector<reco::PFRecHit>                "particleFlowRecHitHBHE"    "Cleaned"         "RECO"         recoPFRecHits_particleFlowRecHitHBHE_Cleaned_RECO
vector<reco::PFRecHit>                "particleFlowRecHitHF"      "Cleaned"         "RECO"         recoPFRecHits_particleFlowRecHitHF_Cleaned_RECO
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "RECO"         recoPFRecHits_particleFlowRecHitHO_Cleaned_RECO
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "RECO"         recoPFRecHits_particleFlowRecHitPS_Cleaned_RECO
vector<reco::PFTau>                   "hpsPFTauProducer"          ""                "RECO"         recoPFTaus_hpsPFTauProducer__RECO
vector<reco::PFTauTransverseImpactParameter>    "hpsPFTauTransverseImpactParameters"   "PFTauTIP"        "RECO"         recoPFTauTransverseImpactParameters_hpsPFTauTransverseImpactParameters_PFTauTIP_RECO
vector<reco::Photon>                  "gedPhotons"                ""                "RECO"         recoPhotons_gedPhotons__RECO
vector<reco::Photon>                  "ootPhotons"                ""                "RECO"         recoPhotons_ootPhotons__RECO
vector<reco::Photon>                  "photons"                   ""                "RECO"         recoPhotons_photons__RECO
vector<reco::PhotonCore>              "gedPhotonCore"             ""                "RECO"         recoPhotonCores_gedPhotonCore__RECO
vector<reco::PhotonCore>              "ootPhotonCore"             ""                "RECO"         recoPhotonCores_ootPhotonCore__RECO
vector<reco::PhotonCore>              "photonCore"                ""                "RECO"         recoPhotonCores_photonCore__RECO
vector<reco::PixelClusterTagInfo>     "pixelClusterTagInfos"      ""                "RECO"         recoPixelClusterTagInfos_pixelClusterTagInfos__RECO
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "RECO"         recoPreshowerClusters_multi5x5SuperClustersWithPreshower_preshowerXClusters_RECO
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "RECO"         recoPreshowerClusters_multi5x5SuperClustersWithPreshower_preshowerYClusters_RECO
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "RECO"         recoPreshowerClusterShapes_multi5x5PreshowerClusterShape_multi5x5PreshowerXClustersShape_RECO
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "RECO"         recoPreshowerClusterShapes_multi5x5PreshowerClusterShape_multi5x5PreshowerYClustersShape_RECO
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "RECO"         recoRecoEcalCandidates_hfRecoEcalCandidate__RECO
vector<reco::RecoTauPiZero>           "hpsPFTauProducer"          "pizeros"         "RECO"         recoRecoTauPiZeros_hpsPFTauProducer_pizeros_RECO
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "RECO"         recoSuperClusters_correctedHybridSuperClusters__RECO
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "RECO"         recoSuperClusters_correctedMulti5x5SuperClustersWithPreshower__RECO
vector<reco::SuperCluster>            "hfEMClusters"              ""                "RECO"         recoSuperClusters_hfEMClusters__RECO
vector<reco::SuperCluster>            "lowPtGsfElectronSuperClusters"   ""                "RECO"         recoSuperClusters_lowPtGsfElectronSuperClusters__RECO
vector<reco::SuperCluster>            "particleFlowEGamma"        ""                "RECO"         recoSuperClusters_particleFlowEGamma__RECO
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "RECO"         recoSuperClusters_particleFlowSuperClusterECAL_particleFlowSuperClusterECALBarrel_RECO
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "RECO"         recoSuperClusters_particleFlowSuperClusterECAL_particleFlowSuperClusterECALEndcapWithPreshower_RECO
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALBarrel"   "RECO"         recoSuperClusters_particleFlowSuperClusterOOTECAL_particleFlowSuperClusterOOTECALBarrel_RECO
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALEndcapWithPreshower"   "RECO"         recoSuperClusters_particleFlowSuperClusterOOTECAL_particleFlowSuperClusterOOTECALEndcapWithPreshower_RECO
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "RECO"         recoSuperClusters_hybridSuperClusters_uncleanOnlyHybridSuperClusters_RECO
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "RECO"         recoTracks_ckfInOutTracksFromConversions__RECO
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "RECO"         recoTracks_ckfOutInTracksFromConversions__RECO
vector<reco::Track>                   "conversionStepTracks"      ""                "RECO"         recoTracks_conversionStepTracks__RECO
vector<reco::Track>                   "cosmicMuons"               ""                "RECO"         recoTracks_cosmicMuons__RECO
vector<reco::Track>                   "cosmicMuons1Leg"           ""                "RECO"         recoTracks_cosmicMuons1Leg__RECO
vector<reco::Track>                   "displacedGlobalMuons"      ""                "RECO"         recoTracks_displacedGlobalMuons__RECO
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "RECO"         recoTracks_displacedStandAloneMuons__RECO
vector<reco::Track>                   "displacedTracks"           ""                "RECO"         recoTracks_displacedTracks__RECO
vector<reco::Track>                   "generalTracks"             ""                "RECO"         recoTracks_generalTracks__RECO
vector<reco::Track>                   "globalMuons"               ""                "RECO"         recoTracks_globalMuons__RECO
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "RECO"         recoTracks_refittedStandAloneMuons__RECO
vector<reco::Track>                   "standAloneMuons"           ""                "RECO"         recoTracks_standAloneMuons__RECO
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "RECO"         recoTracks_uncleanedOnlyCkfInOutTracksFromConversions__RECO
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "RECO"         recoTracks_uncleanedOnlyCkfOutInTracksFromConversions__RECO
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "RECO"         recoTracks_refittedStandAloneMuons_UpdatedAtVtx_RECO
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "RECO"         recoTracks_standAloneMuons_UpdatedAtVtx_RECO
vector<reco::Track>                   "tevMuons"                  "default"         "RECO"         recoTracks_tevMuons_default_RECO
vector<reco::Track>                   "tevMuons"                  "dyt"             "RECO"         recoTracks_tevMuons_dyt_RECO
vector<reco::Track>                   "tevMuons"                  "firstHit"        "RECO"         recoTracks_tevMuons_firstHit_RECO
vector<reco::Track>                   "tevMuons"                  "picky"           "RECO"         recoTracks_tevMuons_picky_RECO
vector<reco::TrackExtra>              "displacedGlobalMuons"      ""                "RECO"         recoTrackExtras_displacedGlobalMuons__RECO
vector<reco::TrackExtra>              "displacedMuonReducedTrackExtras"   ""                "RECO"         recoTrackExtras_displacedMuonReducedTrackExtras__RECO
vector<reco::TrackExtra>              "displacedStandAloneMuons"   ""                "RECO"         recoTrackExtras_displacedStandAloneMuons__RECO
vector<reco::TrackExtra>              "globalMuons"               ""                "RECO"         recoTrackExtras_globalMuons__RECO
vector<reco::TrackExtra>              "muonReducedTrackExtras"    ""                "RECO"         recoTrackExtras_muonReducedTrackExtras__RECO
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "RECO"         recoTrackExtras_refittedStandAloneMuons__RECO
vector<reco::TrackExtra>              "standAloneMuons"           ""                "RECO"         recoTrackExtras_standAloneMuons__RECO
vector<reco::TrackExtra>              "tevMuons"                  "default"         "RECO"         recoTrackExtras_tevMuons_default_RECO
vector<reco::TrackExtra>              "tevMuons"                  "dyt"             "RECO"         recoTrackExtras_tevMuons_dyt_RECO
vector<reco::TrackExtra>              "tevMuons"                  "firstHit"        "RECO"         recoTrackExtras_tevMuons_firstHit_RECO
vector<reco::TrackExtra>              "tevMuons"                  "picky"           "RECO"         recoTrackExtras_tevMuons_picky_RECO
vector<reco::TrackExtrapolation>      "trackExtrapolator"         ""                "RECO"         recoTrackExtrapolations_trackExtrapolator__RECO
vector<reco::Vertex>                  "inclusiveSecondaryVertices"   ""                "RECO"         recoVertexs_inclusiveSecondaryVertices__RECO
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "RECO"         recoVertexs_offlinePrimaryVertices__RECO
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"         recoVertexs_offlinePrimaryVerticesWithBS__RECO
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Kshort"          "RECO"         recoVertexCompositeCandidates_generalV0Candidates_Kshort_RECO
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Lambda"          "RECO"         recoVertexCompositeCandidates_generalV0Candidates_Lambda_RECO
vector<reco::VertexCompositePtrCandidate>    "inclusiveCandidateSecondaryVertices"   ""                "RECO"         recoVertexCompositePtrCandidates_inclusiveCandidateSecondaryVertices__RECO
vector<reco::VertexCompositePtrCandidate>    "inclusiveCandidateSecondaryVerticesCvsL"   ""                "RECO"         recoVertexCompositePtrCandidates_inclusiveCandidateSecondaryVerticesCvsL__RECO
